category_title,region,views,likes,dislikes,comment_count
Autos & Vehicles,CA,200066074,4732114,197776,1016188
Autos & Vehicles,DE,182112183,6143363,182704,657163
Autos & Vehicles,FR,43764940,1606767,52260,207973
Autos & Vehicles,GB,214184514,3543625,281190,505085
Autos & Vehicles,IN,30384725,539571,22284,86488
Autos & Vehicles,JP,23293878,294124,21584,45615
Autos & Vehicles,KR,14384059,152055,13073,40523
Autos & Vehicles,MX,49190861,2980893,83752,368109
Autos & Vehicles,RU,383781815,21223727,1473827,2245794
Autos & Vehicles,US,520690717,4245656,243010,784447
Comedy,CA,3708438785,196046674,5372515,19638776
Comedy,DE,1642158154,74787405,2557861,8851969
Comedy,FR,1896284649,130805444,3391288,9136814
Comedy,GB,3962062143,143372176,4630521,16718816
Comedy,IN,2887672070,174114686,6976508,13806968
Comedy,JP,280973914,7547588,446926,1229425
Comedy,KR,739841742,13110818,534884,3028270
Comedy,MX,794647488,55273506,2400688,6838587
Comedy,RU,1021361186,69987601,7156751,8269629
Comedy,US,5117426208,216346746,7230391,22545582
Education,CA,531773343,20972402,793448,2968416
Education,DE,143868522,7516778,234168,888078
Education,FR,120742556,8302644,201359,768074
Education,GB,444290557,17567394,593153,1636903
Education,IN,145533791,7471726,246667,943667
Education,JP,9706802,531665,20176,45717
Education,KR,73464565,1117639,53775,281579
Education,MX,43205309,2550632,67408,295654
Education,RU,41625975,2190395,148439,276845
Education,US,1180629990,49257772,1351972,5442242
Entertainment,CA,13671215509,387245433,25791583,55313036
Entertainment,DE,8102638694,267752272,22485534,36487217
Entertainment,FR,3779500229,118243560,10351578,15729924
Entertainment,GB,29786283041,744266231,88106151,116897440
Entertainment,IN,16120390974,396146637,27428929,42199473
Entertainment,JP,1766268244,39741269,2638087,6052118
Entertainment,KR,4570464883,88234195,7861813,17324199
Entertainment,MX,4027574336,186692595,11139060,29688886
Entertainment,RU,2088743148,98904908,9479944,14324340
Entertainment,US,20604388195,530516491,42987663,73566498
Film & Animation,CA,2939060844,77802003,3111259,10086573
Film & Animation,DE,1757184336,45315546,1864876,5387311
Film & Animation,FR,918517018,24631422,1092744,2841655
Film & Animation,GB,8362707626,147418633,6192934,15590011
Film & Animation,IN,3847149504,69241553,4315081,5789446
Film & Animation,JP,311590772,5920614,295204,881008
Film & Animation,KR,1196833781,16492926,629643,2737433
Film & Animation,MX,461919619,17915248,516653,2048173
Film & Animation,RU,540227680,19150169,1185665,2138455
Film & Animation,US,7284156721,165997476,6075148,17887060
